"","Method","alpha","Parameter","par_real","median","MPE","relative_bias"
"20","Method_1","0.80","sent_a",0.250886046,0.250554473145326,-0.00355543629727471,-0.00132160739890031
"21","Method_1","0.80","cost_a",-0.001380885,-0.00365398882304433,0.96501461906295,1.64612101879905
"22","Method_1","0.80","(Intercept)_delta",-8.373751993,-6.91335152897155,-0.172400771676399,-0.174402163480512
"23","Method_1","0.80","semester2_delta",-0.309405318,-0.252494129877437,-0.158192753382245,-0.183937330135234
"24","Method_1","0.80","alpha",0.8,0.888785791448541,0.11318292012291,0.110982239310676
"25","Method_1","0.95","(Intercept)_a",2.973018248,2.94647025060222,-0.00990571485272689,-0.00892964495446141
"26","Method_1","0.95","sent_a",0.250886046,0.252861513012704,0.00126686983914286,0.00787396128321945
"27","Method_1","0.95","cost_a",-0.001380885,-0.00112776202679193,-0.0621603853018383,-0.183304890130659
"28","Method_1","0.95","(Intercept)_delta",-8.373751993,-8.17478577859569,-0.0221680193599222,-0.0237607006477663
"29","Method_1","0.95","semester2_delta",-0.309405318,-0.28238007927545,-0.0497424194346386,-0.0873457473169546
"30","Method_1","0.95","alpha",0.95,0.975206300924314,0.022914163212243,0.0265329483413831
"31","Method_2","0.35","(Intercept)_a",2.973018248,2.55257404634432,-0.147413992798076,-0.141419986889929
"32","Method_2","0.35","sent_a",0.250886046,0.252223670585439,-0.0133468183082354,0.00533160216267673
"33","Method_2","0.35","cost_a",-0.001380885,0.00226289622729967,-5.47192043350659,-2.63872895085374
"34","Method_2","0.35","(Intercept)_delta",-8.373751993,-8.08259370847276,-0.0363916560749603,-0.0347703496318774
"35","Method_2","0.35","semester2_delta",-0.309405318,-0.405967725576489,0.163853851291413,0.312090329282863
"36","Method_2","0.35","alpha",0.35,0.44163336336237,0.291229732832869,0.261809609606772
"37","Method_2","0.50","(Intercept)_a",2.973018248,2.49158346407898,-0.174750975174819,-0.161934688508853
"38","Method_2","0.50","sent_a",0.250886046,0.245952244369479,-0.0175026394819903,-0.0196655083420641
"39","Method_2","0.50","cost_a",-0.001380885,0.00460782192537094,-3.30790805080889,-4.33686145143943
"40","Method_2","0.50","(Intercept)_delta",-8.373751993,-7.52612012433227,-0.120305471176456,-0.101224859462796
"41","Method_2","0.50","semester2_delta",-0.309405318,-0.274265502363358,-0.121340809228783,-0.113572112670158
"42","Method_2","0.50","alpha",0.5,0.523098841794409,0.0558000975424865,0.046197683588818
"43","Method_2","0.65","(Intercept)_a",2.973018248,2.57323614895577,-0.136641633861224,-0.134470112759372
"44","Method_2","0.65","sent_a",0.250886046,0.252733337924892,0.00475990222771118,0.00736307161894538
"45","Method_2","0.65","cost_a",-0.001380885,-0.00240419066257528,0.0589705326594536,0.741050603471889
"46","Method_2","0.65","(Intercept)_delta",-8.373751993,-6.0243204762842,-0.27572608864233,-0.280570945817334
"47","Method_2","0.65","semester2_delta",-0.309405318,-0.19235570378548,-0.33961587997129,-0.378305114375961
"48","Method_2","0.65","alpha",0.65,0.676930803201699,0.0431710967051631,0.04143200492569
"49","Method_2","0.80","(Intercept)_a",2.973018248,2.78245036557056,-0.0659487563400718,-0.0640991297505954
"50","Method_2","0.80","sent_a",0.250886046,0.250561036110375,-0.00357144203499909,-0.00129544825153397
"51","Method_2","0.80","cost_a",-0.001380885,-0.00365192223886471,0.964647089877997,1.64462445378486
"52","Method_2","0.80","(Intercept)_delta",-8.373751993,-7.01625828227685,-0.15944247947917,-0.162112958666311
"53","Method_2","0.80","semester2_delta",-0.309405318,-0.252549753876887,-0.158087454654186,-0.183757553007258
"54","Method_2","0.80","alpha",0.8,0.833529619595374,0.0399725512205718,0.0419120244942175
"55","Method_2","0.95","(Intercept)_a",2.973018248,2.94640434185122,-0.00991365880549953,-0.00895181392400754
"56","Method_2","0.95","sent_a",0.250886046,0.252854954631011,0.00125675362494887,0.00784782040453343
"57","Method_2","0.95","cost_a",-0.001380885,-0.00110190190533675,-0.062714891894819,-0.202032098736133
"58","Method_2","0.95","(Intercept)_delta",-8.373751993,-8.2083219761836,-0.0181421388706687,-0.0197557817516791
"59","Method_2","0.95","semester2_delta",-0.309405318,-0.282410152907814,-0.0496608409985318,-0.0872485491415696
"60","Method_2","0.95","alpha",0.95,0.958342647616085,0.00608873300421512,0.00878173433272158
"61","Method_3","0.35","(Intercept)_a",2.973018248,2.98394200688974,0.00400349298289614,0.00367429930747766
"62","Method_3","0.35","sent_a",0.250886046,0.255135580957446,0.0108578955437532,0.0169381080582158
"63","Method_3","0.35","cost_a",-0.001380885,-0.00182539251028078,-0.277772325270875,0.321900455346231
"64","Method_3","0.35","(Intercept)_delta",-8.373751993,-8.26369918083866,-0.00341649938155817,-0.0131425927413833
"65","Method_3","0.35","semester2_delta",-0.309405318,-0.322840820397129,0.053407281762768,0.0434236311255952
"66","Method_3","0.35","alpha",0.35,0.408575823159715,0.174198906928269,0.167359494742042
"67","Method_3","0.50","(Intercept)_a",2.973018248,2.95450262568775,-0.00735581651507218,-0.00622788720678082
"68","Method_3","0.50","sent_a",0.250886046,0.252664561906965,0.00995945715384924,0.0070889391232406
"69","Method_3","0.50","cost_a",-0.001380885,-0.00325612681261516,0.611468463334076,1.35799998741036
"70","Method_3","0.50","(Intercept)_delta",-8.373751993,-8.30108477555557,-0.00582053096995922,-0.00867797583510616
"71","Method_3","0.50","semester2_delta",-0.309405318,-0.313543505435458,-0.000308661770551821,0.0133746487041878
"72","Method_3","0.50","alpha",0.5,0.522156921279724,0.0520300872064032,0.044313842559448
"73","Method_3","0.65","(Intercept)_a",2.973018248,2.93062420863788,-0.013637592815165,-0.0142595960824118
"74","Method_3","0.65","sent_a",0.250886046,0.253205680386583,0.00734930589109905,0.00924576884033861
"75","Method_3","0.65","cost_a",-0.001380885,-0.00205234504785311,0.246119055861596,0.486253415637881
"76","Method_3","0.65","(Intercept)_delta",-8.373751993,-8.09442632578476,-0.0289916386170369,-0.0333572892353078
"77","Method_3","0.65","semester2_delta",-0.309405318,-0.272637653829702,-0.0756101264618119,-0.118833329717683
"78","Method_3","0.65","alpha",0.65,0.676930803201699,0.0431710967051631,0.04143200492569
"79","Method_3","0.80","(Intercept)_a",2.973018248,2.92205250154619,-0.0169400600995393,-0.0171427627422385
"80","Method_3","0.80","sent_a",0.250886046,0.251342985718516,-0.00100989974212206,0.00182130383814001
"81","Method_3","0.80","cost_a",-0.001380885,-0.00361812939773501,1.03228925167153,1.62015258166684
"82","Method_3","0.80","(Intercept)_delta",-8.373751993,-7.97268943397779,-0.0426589033658284,-0.0478952038891864
"83","Method_3","0.80","semester2_delta",-0.309405318,-0.279027937858513,-0.0456433582725801,-0.0981798901772157
"84","Method_3","0.80","alpha",0.8,0.833529619595374,0.0399725512205718,0.0419120244942175
"85","Method_3","0.95","(Intercept)_a",2.973018248,2.99397895378648,0.00591383892289887,0.00705031185078851
"86","Method_3","0.95","sent_a",0.250886046,0.252139289394225,0.00146119815717884,0.00499526942293754
"87","Method_3","0.95","cost_a",-0.001380885,-0.00112416052972566,-0.0995200550530308,-0.185912998022526
"88","Method_3","0.95","(Intercept)_delta",-8.373751993,-8.54220382309407,0.0210684895112962,0.0201166490522865
"89","Method_3","0.95","semester2_delta",-0.309405318,-0.297826191398515,-0.00602334144190482,-0.0374238124810947
"90","Method_3","0.95","alpha",0.95,0.958342647616085,0.00608873300421512,0.00878173433272158
