"","Method","alpha","Parameter","Par_real","Mean","Median","MSE","relative_bias"
"69","Method_3","0.50","cost_a",-0.00138,-0.00223,-0.00326,0.00141,1.36232
"70","Method_3","0.50","(Intercept)_delta",-8.37375,-8.32501,-8.30108,0.50242,-0.00868
"71","Method_3","0.50","semester2_delta",-0.30941,-0.30931,-0.31354,0.19839,0.01335
"72","Method_3","0.50","alpha",0.5,0.52602,0.52216,0.00397,0.04432
"73","Method_3","0.65","(Intercept)_a",2.97302,2.93247,2.93062,0.00775,-0.01426
"74","Method_3","0.65","sent_a",0.25089,0.25273,0.25321,0.0019,0.00925
"75","Method_3","0.65","cost_a",-0.00138,-0.00172,-0.00205,0.00092,0.48551
"76","Method_3","0.65","(Intercept)_delta",-8.37375,-8.13098,-8.09443,0.46989,-0.03336
"77","Method_3","0.65","semester2_delta",-0.30941,-0.28601,-0.27264,0.16755,-0.11884
"78","Method_3","0.65","alpha",0.65,0.67806,0.67693,0.00486,0.04143
"79","Method_3","0.80","(Intercept)_a",2.97302,2.92266,2.92205,0.007,-0.01714
"80","Method_3","0.80","sent_a",0.25089,0.25063,0.25134,0.00153,0.00179
"81","Method_3","0.80","cost_a",-0.00138,-0.00281,-0.00362,6e-04,1.62319
"82","Method_3","0.80","(Intercept)_delta",-8.37375,-8.01654,-7.97269,0.41212,-0.04789
"83","Method_3","0.80","semester2_delta",-0.30941,-0.29528,-0.27903,0.1683,-0.09819
"84","Method_3","0.80","alpha",0.8,0.83198,0.83353,0.00362,0.04191
"85","Method_3","0.95","(Intercept)_a",2.97302,2.9906,2.99398,0.0043,0.00705
"86","Method_3","0.95","sent_a",0.25089,0.25125,0.25214,0.00114,0.00498
"87","Method_3","0.95","cost_a",-0.00138,-0.00124,-0.00112,3e-04,-0.18841
"88","Method_3","0.95","(Intercept)_delta",-8.37375,-8.55017,-8.5422,0.35087,0.02012
"89","Method_3","0.95","semester2_delta",-0.30941,-0.30754,-0.29783,0.15819,-0.03743
"90","Method_3","0.95","alpha",0.95,0.95578,0.95834,0.00121,0.00878
